Product Name,Category,Short Description,Full Description,Pack Size,Grind / Form,SKU,Selling Price (INR),MRP (INR incl. all taxes),Stock Qty,Shipping Weight (g),HSN Code,GST Rate (%),Net Quantity,Manufacturer or Packer Name,Manufacturer or Packer Full Address,Date of Manufacture or Packing,Best Before / Use By,Country of Origin,Consumer Care Name,Consumer Care Phone,Consumer Care Email,FSSAI Licence Number,Ingredients,Storage Instructions,Estate / Origin,Altitude (ft),Harvest Month,Roast Level,Image File Names
Swad Instant Coffee,Coffee,"Instant coffee powder from Malnad Spices, Horanadu.",,100 g,,swad-instant-coffee-100-g,,180,,140,,,100 g,Malnad Spices,"Devaramane, Horanadu Post, Kalasa Tq, Chikkamagaluru Dist - 577181, Karnataka, India",,8 months from the date of packing,India,Malnad Spices,"8431218956, 9480956035",drjhrnd5@gmail.com,21223055000121,,"Store in a cool, dry, hygienic place away from direct sunlight and strong odour. Transfer to an airtight container once opened.",,,,,100g-instant-coffee.png
Swad Instant Coffee,Coffee,,,200 g,,swad-instant-coffee-200-g,,360,,240,,,200 g,Malnad Spices,"Devaramane, Horanadu Post, Kalasa Tq, Chikkamagaluru Dist - 577181, Karnataka, India",,8 months from the date of packing,India,Malnad Spices,"8431218956, 9480956035",drjhrnd5@gmail.com,21223055000121,,"Store in a cool, dry, hygienic place away from direct sunlight and strong odour. Transfer to an airtight container once opened.",,,,,200g-instant-coffee.png
Swad Special Filter Coffee,Coffee,"Filter coffee powder from Malnad Spices, Horanadu.",,250 g,,swad-special-filter-coffee-250-g,,,,290,,,250 g,Malnad Spices,"Devaramane, Horanadu Post, Kalasa Tq, Chikkamagaluru Dist - 577181, Karnataka, India",,8 months from the date of packing,India,Malnad Spices,"8431218956, 9480956035",drjhrnd5@gmail.com,21223055000121,,"Store in a cool, dry, hygienic place away from direct sunlight and strong odour. Transfer to an airtight container once opened.",,,,,250g-special-filter-coffee.png
Swad Special Filter Coffee,Coffee,,,500 g,,swad-special-filter-coffee-500-g,,,,540,,,500 g,Malnad Spices,"Devaramane, Horanadu Post, Kalasa Tq, Chikkamagaluru Dist - 577181, Karnataka, India",,8 months from the date of packing,India,Malnad Spices,"8431218956, 9480956035",drjhrnd5@gmail.com,21223055000121,,"Store in a cool, dry, hygienic place away from direct sunlight and strong odour. Transfer to an airtight container once opened.",,,,,kg-filter-coffee-special.png
Swad Special Nice Coffee,Coffee,"Coffee powder from Malnad Spices, Horanadu.",,250 g,,swad-special-nice-coffee-250-g,,,,290,,,250 g,Malnad Spices,"Devaramane, Horanadu Post, Kalasa Tq, Chikkamagaluru Dist - 577181, Karnataka, India",,8 months from the date of packing,India,Malnad Spices,"8431218956, 9480956035",drjhrnd5@gmail.com,21223055000121,,"Store in a cool, dry, hygienic place away from direct sunlight and strong odour. Transfer to an airtight container once opened.",,,,,250g-special-nice-coffee.png
Swad Special Nice Coffee,Coffee,,,500 g,,swad-special-nice-coffee-500-g,,,,540,,,500 g,Malnad Spices,"Devaramane, Horanadu Post, Kalasa Tq, Chikkamagaluru Dist - 577181, Karnataka, India",,8 months from the date of packing,India,Malnad Spices,"8431218956, 9480956035",drjhrnd5@gmail.com,21223055000121,,"Store in a cool, dry, hygienic place away from direct sunlight and strong odour. Transfer to an airtight container once opened.",,,,,kg-nice-coffee-special.png
Malnad Chai - Premium Malnad Tea Powder,Tea,"Premium Malnad tea powder, packed at Horanadu.",,250 g,,malnad-chai-premium-malnad-tea-powder-250-g,,150,,290,,,250 g,Malnad Spices,"Devaramane, Horanadu Post, Kalasa Tq, Chikkamagaluru Dist - 577181, Karnataka, India",,,India,Malnad Spices,"8431218956, 9480956035",drjhrnd5@gmail.com,21223055000121,,"Store in a cool, dry, hygienic place away from direct sunlight and strong odour. Transfer to an airtight container once opened.",,,,,250g-special-tea.png
Malnad Chai - Premium Malnad Tea Powder,Tea,,,500 g,,malnad-chai-premium-malnad-tea-powder-500-g,,220,,540,,,500 g,Malnad Spices,"Devaramane, Horanadu Post, Kalasa Tq, Chikkamagaluru Dist - 577181, Karnataka, India",September 2026,,India,Malnad Spices,"8431218956, 9480956035",drjhrnd5@gmail.com,21223055000121,,"Store in a cool, dry, hygienic place away from direct sunlight and strong odour. Transfer to an airtight container once opened.",,,,,kgspecial-tea.png
Malnad Chai - Premium Malnad Tea Powder,Tea,,,1 kg,,malnad-chai-premium-malnad-tea-powder-1-kg,,,,1040,,,1 kg,Malnad Spices,"Devaramane, Horanadu Post, Kalasa Tq, Chikkamagaluru Dist - 577181, Karnataka, India",,,India,Malnad Spices,"8431218956, 9480956035",drjhrnd5@gmail.com,21223055000121,,"Store in a cool, dry, hygienic place away from direct sunlight and strong odour. Transfer to an airtight container once opened.",,,,,1kg-special-tea.png
Sanjivni Special Tea,Tea,"Tea powder from Nagashree Coffee Works, Kalasa.",,1 kg,,sanjivni-special-tea-1-kg,,,,1040,,,1 kg,Nagashree Coffee Works,"Mahaveera Road, Kalasa - 577124, Chikmagalur Tq, Chikmagalur Dist, Karnataka, India",,12 months from packaging,India,Nagashree Coffee Works,08263-274536,drjhrnd5@gmail.com,21215055000048,,,,,,,"1kg-tea-2.png,1kg-tea-1.png,sanjivini-special-tea-2.png"
